,Unnamed: 0,ord,TIME,LATITUDE,LONGITUDE,ALTITUDE,VEHICLE_ID,BAROMETRIC_PRESSURE,ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,TERM.FUEL.TRIM.BANK.1,FUEL_ECONOMY,LONG.TERM.FUEL.TRIM.BANK.2,FUEL_TYPE,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT.TERM.FUEL.TRIM.BANK.2,SHORT.TERM.FUEL.TRIM.BANK.1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,aqui,TROUBLE_CODES_converted,TIMESTAMP,MARK,MODEL,CAR_YEAR,ENGINE_POWER,AUTOMATIC,BAROMETRIC_PRESSURE.KPA.,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR
0,1,1.0,"1,51E+12",-583.206.639,-3.520.573.159,42.0,control1,100.0,95.0,"56,10","43,10",4.0,816.0,39.0,"4,73",,,,,34.0,,,,"0,80",00:45:33,"21,20",MIL is OFF0 codes,,"52,90","1,00",,0,,,,,,,,,,,,
1,2,2.0,"1,51E+12",-583.206.639,-3.520.573.159,42.0,control1,100.0,95.0,"56,10","42,00",4.0,807.0,37.0,"4,73",,,,,34.0,,0.0,,"0,80",00:45:37,"21,60",MIL is OFF0 codes,,"52,50","1,00",,0,,,,,,,,,,,,
2,3,3.0,"1,51E+12",-583.201.429,-3.520.570.624,44.0,control1,100.0,94.0,"56,10","50,60",4.0,1559.0,37.0,"11,51",,,,,32.0,,9.0,,"-6,20",00:45:41,"29,80",MIL is OFF0 codes,,"56,90","1,00",,0,,,,,,,,,,,,
3,4,4.0,"1,51E+12",-5.831.937,-3.520.569.123,41.0,control1,100.0,93.0,"56,90","41,20",4.0,1692.0,46.0,"10,29",,,,,32.0,,10.0,,"3,10",00:45:45,"29,00",MIL is OFF0 codes,,"71,80","1,00",,0,,,,,,,,,,,,
4,5,5.0,"1,51E+12",-583.184.493,-3.520.559.225,46.0,control1,100.0,91.0,"56,90","55,70",4.0,863.0,52.0,"7,25",,,,,32.0,,11.0,,"4,70",00:45:49,"25,90",MIL is OFF0 codes,,"58,00","1,00",,0,,,,,,,,,,,,
5,6,6.0,"1,51E+12",-583.183.485,-3.520.548.621,47.0,control1,,90.0,"57,30","69,80",4.0,955.0,66.0,"9,2",,,,,32.0,,8.0,,"0,80",00:45:53,"27,50",MIL is OFF0 codes,,"60,40","1,00",,0,,,,,,,,,,,,
6,7,7.0,"1,51E+12",-583.182.818,-3.520.543.836,49.0,control1,100.0,90.0,"58,00","26,30",4.0,777.0,51.0,"9,39",,,,,32.0,,9.0,,"2,30",00:45:57,"29,80",MIL is OFF0 codes,,"46,30","1,00",,0,,,,,,,,,,,,
7,8,8.0,"1,51E+12",-58.318.184,-3.520.531.835,51.0,control1,100.0,90.0,"59,20","47,10",4.0,1549.0,41.0,,,,,,32.0,,13.0,,"-7,80",00:46:01,"29,40",MIL is OFF0 codes,,"69,00","1,00",,0,,,,,,,,,,,,
8,9,9.0,"1,51E+12",-583.184.651,-3.520.519.257,52.0,control1,100.0,89.0,"60,00","49,40",4.0,2106.0,43.0,"16,1",,,,,32.0,,12.0,,"1,60",00:46:05,"31,80",MIL is OFF0 codes,,"70,60","1,00",,0,,,,,,,,,,,,
9,10,10.0,"1,51E+12",-58.319.008,-3.520.507.015,52.0,control1,100.0,89.0,"60,00","62,40",4.0,1080.0,53.0,"9,48",,,,,32.0,,15.0,,"-1,60",00:46:09,"28,20",MIL is OFF0 codes,,"62,00","1,00",,0,,,,,,,,,,,,
